Date,Open,High,Low,Close,Adj Close,Volume
2019-11-07,329.140015,341.500000,328.019989,335.540009,335.540009,14467300
2019-11-08,334.500000,337.459991,332.500000,337.140015,337.140015,6069200
2019-11-11,343.950012,349.190002,342.000000,345.089996,345.089996,9986700
2019-11-12,346.899994,350.369995,344.040009,349.929993,349.929993,7359400
2019-11-13,355.000000,356.329987,345.179993,346.109985,346.109985,8420100
2019-11-14,346.109985,353.839996,342.910004,349.350006,349.350006,6464900
2019-11-15,350.640015,352.799988,348.359985,352.170013,352.170013,4809000
2019-11-18,352.920013,353.149994,346.100006,349.989990,349.989990,4400400
2019-11-19,351.750000,359.989990,347.799988,359.519989,359.519989,7724800
2019-11-20,360.000000,361.200012,349.570007,352.220001,352.220001,6725100
2019-11-21,354.510010,360.839996,354.000000,354.829987,354.829987,6110000
2019-11-22,340.160004,341.000000,330.000000,333.040009,333.040009,16870600
2019-11-25,344.320007,344.570007,334.459991,336.339996,336.339996,12339500
2019-11-26,335.269989,335.500000,327.100006,328.920013,328.920013,7947400
2019-11-27,331.119995,333.929993,328.570007,331.290009,331.290009,5555600
2019-11-29,331.109985,331.260010,327.500000,329.940002,329.940002,2465600
2019-12-02,329.399994,336.380005,328.690002,334.869995,334.869995,6074500
2019-12-03,332.619995,337.910004,332.190002,336.200012,336.200012,6573700
2019-12-04,337.750000,337.859985,332.850006,333.029999,333.029999,5533000
2019-12-05,332.829987,334.420013,327.250000,330.369995,330.369995,3724600
2019-12-06,335.000000,338.859985,334.769989,335.890015,335.890015,7618937
